sex,age_group,model_file,thoracic1_x_norm,thoracic1_y_norm,thoracic1_z_norm,thoracic2_x_norm,thoracic2_y_norm,thoracic2_z_norm,thoracic3_x_norm,thoracic3_y_norm,thoracic3_z_norm,thoracic4_x_norm,thoracic4_y_norm,thoracic4_z_norm,thoracic5_x_norm,thoracic5_y_norm,thoracic5_z_norm,thoracic6_x_norm,thoracic6_y_norm,thoracic6_z_norm,thoracic7_x_norm,thoracic7_y_norm,thoracic7_z_norm,thoracic8_x_norm,thoracic8_y_norm,thoracic8_z_norm,thoracic9_x_norm,thoracic9_y_norm,thoracic9_z_norm,thoracic10_x_norm,thoracic10_y_norm,thoracic10_z_norm,thoracic11_x_norm,thoracic11_y_norm,thoracic11_z_norm,thoracic12_x_norm,thoracic12_y_norm,thoracic12_z_norm,lumbar1_x_norm,lumbar1_y_norm,lumbar1_z_norm,lumbar2_x_norm,lumbar2_y_norm,lumbar2_z_norm,lumbar3_x_norm,lumbar3_y_norm,lumbar3_z_norm,lumbar4_x_norm,lumbar4_y_norm,lumbar4_z_norm,lumbar5_x_norm,lumbar5_y_norm,lumbar5_z_norm
Male,Age4049,846_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.0,1.0,0.0,-0.008529,0.956988,0.0,-0.015391,0.909437,0.0,-0.019283,0.856637,0.0,-0.029797,0.810112,0.0,-0.033053,0.762068,0.0,-0.030078,0.709647,0.0,-0.028973,0.656145,0.0,-0.030071,0.598439,0.0,-0.029738,0.53578,0.0,-0.019097,0.468875,0.0,-0.006629,0.399742,0.0,0.010222,0.325532,0.0,0.02525,0.243932,0.0,0.037354,0.158866,0.0,0.031938,0.079439,0.0,0.0,0.0,0.0
Male,Age4049,889_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.0,1.0,0.0,-0.011028,0.958397,0.0,-0.020712,0.912247,0.0,-0.027805,0.860769,0.0,-0.029466,0.812339,0.0,-0.0255,0.761346,0.0,-0.019134,0.708518,0.0,-0.009395,0.654093,0.0,-0.001111,0.596907,0.0,0.008537,0.536469,0.0,0.018937,0.47186,0.0,0.028349,0.398838,0.0,0.036553,0.319538,0.0,0.035759,0.236835,0.0,0.043715,0.154101,0.0,0.034859,0.076468,0.0,0.0,0.0,0.0
Male,Age4049,947_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.0,1.0,0.0,-0.015178,0.956611,0.0,-0.029297,0.908268,0.0,-0.041102,0.854037,0.0,-0.047618,0.794832,0.0,-0.05418,0.74352,0.0,-0.045329,0.696627,0.0,-0.039162,0.644175,0.0,-0.027371,0.5895,0.0,-0.025889,0.530641,0.0,-0.015101,0.47005,0.0,-0.003008,0.402935,0.0,0.008739,0.327474,0.0,0.01938,0.251712,0.0,0.034,0.167664,0.0,0.030892,0.084269,0.0,0.0,0.0,0.0
Male,Age4049,985_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.0,1.0,0.0,-0.015923,0.961012,0.0,-0.031109,0.917439,0.0,-0.044457,0.868369,0.0,-0.054192,0.81831,0.0,-0.060857,0.765618,0.0,-0.060575,0.712411,0.0,-0.059208,0.657111,0.0,-0.053235,0.597575,0.0,-0.045124,0.534647,0.0,-0.031328,0.465946,0.0,-0.019376,0.392466,0.0,-0.005665,0.316581,0.0,0.007148,0.238095,0.0,0.025063,0.15473,0.0,0.025236,0.078267,0.0,0.0,0.0,0.0
Male,Age4049,986_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.0,1.0,0.0,-0.016152,0.959873,0.0,-0.031529,0.915038,0.0,-0.044983,0.864572,0.0,-0.053002,0.811526,0.0,-0.052709,0.760078,0.0,-0.048942,0.707899,0.0,-0.044896,0.649772,0.0,-0.040702,0.592918,0.0,-0.032833,0.530545,0.0,-0.021765,0.464963,0.0,-0.008232,0.393978,0.0,0.009554,0.320744,0.0,0.024868,0.241924,0.0,0.036943,0.156697,0.0,0.031553,0.078348,0.0,0.0,0.0,0.0
Male,Age4049,989_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.0,1.0,0.0,-0.01542,0.957303,0.0,-0.029844,0.909698,0.0,-0.04204,0.85626,0.0,-0.043947,0.806095,0.0,-0.04076,0.756574,0.0,-0.036512,0.707129,0.0,-0.030291,0.653257,0.0,-0.024358,0.596397,0.0,-0.01566,0.536201,0.0,-0.005436,0.470831,0.0,0.003871,0.401242,0.0,0.015051,0.326759,0.0,0.023721,0.246045,0.0,0.036398,0.164994,0.0,0.031926,0.082695,0.0,0.0,0.0,0.0
Male,Age5059,198_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.0,1.0,0.0,-0.0139,0.958903,0.0,-0.026751,0.913143,0.0,-0.037364,0.861847,0.0,-0.044283,0.811637,0.0,-0.050516,0.756426,0.0,-0.053178,0.699887,0.0,-0.054152,0.643085,0.0,-0.052372,0.587072,0.0,-0.04652,0.527991,0.0,-0.037815,0.461104,0.0,-0.016397,0.391979,0.0,0.005438,0.317025,0.0,0.023286,0.239193,0.0,0.035621,0.157484,0.0,0.03093,0.07886,0.0,0.0,0.0,0.0
Male,Age5059,231_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,-0.0,1.0,0.0,-0.018795,0.959495,0.0,-0.037038,0.914096,0.0,-0.053599,0.862788,0.0,-0.062624,0.814141,0.0,-0.06451,0.763935,0.0,-0.064029,0.710279,0.0,-0.057396,0.654788,0.0,-0.053582,0.596786,0.0,-0.040825,0.537096,0.0,-0.026868,0.473412,0.0,-0.010169,0.404755,0.0,0.007816,0.330827,0.0,0.020684,0.249261,0.0,0.034801,0.162509,0.0,0.030901,0.081532,0.0,0.0,0.0,0.0
Male,Age5059,239_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.0,1.0,0.0,-0.009101,0.955096,0.0,-0.016482,0.905445,0.0,-0.02078,0.850294,0.0,-0.022276,0.801732,0.0,-0.027835,0.750471,0.0,-0.029455,0.70027,0.0,-0.028031,0.647691,0.0,-0.023817,0.594266,0.0,-0.012045,0.53751,0.0,-4.3e-05,0.476694,0.0,0.016375,0.408922,0.0,0.030992,0.332262,0.0,0.031539,0.248787,0.0,0.041931,0.165278,0.0,0.034818,0.082405,0.0,0.0,0.0,0.0
Male,Age5059,246_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.0,1.0,0.0,-0.014341,0.955413,0.0,-0.027475,0.905807,0.0,-0.038099,0.850265,0.0,-0.039575,0.802788,0.0,-0.040395,0.755511,0.0,-0.034997,0.704032,0.0,-0.031445,0.651843,0.0,-0.026017,0.59481,0.0,-0.014966,0.536554,0.0,-0.00436,0.472333,0.0,0.015023,0.40517,0.0,0.028384,0.330479,0.0,0.03701,0.250177,0.0,0.045777,0.168193,0.0,0.037043,0.083611,0.0,0.0,0.0,0.0
Male,Age5059,280_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.0,1.0,0.0,-0.016455,0.957629,0.0,-0.032028,0.910326,0.0,-0.045512,0.857129,0.0,-0.053014,0.809867,0.0,-0.055791,0.760107,0.0,-0.052007,0.70702,0.0,-0.04673,0.652851,0.0,-0.044288,0.595184,0.0,-0.035135,0.536156,0.0,-0.017133,0.471986,0.0,0.005179,0.404568,0.0,0.023843,0.330344,0.0,0.033489,0.248879,0.0,0.043241,0.163546,0.0,0.03536,0.081401,0.0,0.0,0.0,0.0
