Directory,Filename,spine_height,trunk_mass,sex,Min Age (year),Max Age (year),height (m),weight (kg)
.\Male\Age5059,410_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.502856299,63.39320052,male,50,59,1.997100791,105.6379264
.\Male\Age5059,468_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.450905827,50.27736593,male,50,59,1.790778767,83.78180372
.\Male\Age5059,497_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.470783898,80.33448687,male,50,59,1.869724807,133.8687516
.\Male\Age5059,519_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.445146647,52.46333836,male,50,59,1.767906105,87.42449084
.\Male\Age5059,644_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.472716151,41.53347621,male,50,59,1.877398773,69.21105525
.\Male\Age5059,802_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.424433376,44.26594175,male,50,59,1.68564306,73.76441415
.\Male\Age5059,829_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.485394844,56.28879012,male,50,59,1.927752379,93.7991933
.\Male\Age5059,841_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.441559301,42.35321587,male,50,59,1.75365891,70.57706292
.\Male\Age5059,909_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.480598344,65.3059264,male,50,59,1.908703014,108.8252777
.\Male\Age5059,921_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.455918981,47.27165384,male,50,59,1.810688578,78.77310893
.\Male\Age5059,951_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.4799726,47.54490039,male,50,59,1.906217861,79.22844482
.\Male\Age5059,966_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.40909238,46.72516073,male,50,59,1.624716081,77.86243716
.\Male\Age5059,974_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.45089287,66.12566606,male,50,59,1.79072731,110.1912853
.\Male\Age5059,996_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.461058099,60.38748843,male,50,59,1.831098658,100.6292316
.\Male\Age6069,113_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.429169187,49.18437972,male,60,69,1.704451402,81.96046016
.\Male\Age6069,123_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.41525247,43.44620208,male,60,69,1.649180967,72.39840648
.\Male\Age6069,131_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.452917718,62.30021431,male,60,69,1.798769022,103.8165829
